company_id,CON-01,CON-02,CON-03,CON-04,CON-05,CON-06,CON-07,CON-08,CON-09,CON-10,CON-11,CON-12,applicable_con_count
ABB,False,False,False,False,False,False,False,False,False,False,False,False,0
ADANIENSOL,True,False,False,False,False,False,False,False,False,True,True,False,3
ADANIENT,False,False,False,False,False,False,False,False,False,False,True,False,1
ADANIGREEN,True,False,False,False,False,False,False,False,False,False,True,False,2
ADANIPORTS,False,False,False,False,False,False,False,False,False,False,False,False,0
ADANIPOWER,False,False,False,False,False,False,False,False,False,False,False,False,0
AMBUJACEM,False,False,False,False,False,False,False,False,False,False,False,True,1
APOLLOHOSP,False,False,False,False,False,False,False,False,False,False,False,False,0
ASIANPAINT,False,False,False,False,False,False,False,True,False,False,False,False,1
ATGL,False,False,False,False,False,False,False,False,False,False,False,False,0
AXISBANK,True,False,False,False,False,False,False,False,False,True,True,False,3
BAJAJ-AUTO,False,False,False,False,False,False,False,False,False,False,False,False,0
BAJAJFINSV,True,True,False,False,False,False,False,True,False,False,True,False,4
BAJAJHLDNG,False,False,False,False,False,False,False,False,False,False,False,False,0
BAJFINANCE,True,True,True,False,False,False,False,False,False,False,True,False,4
BANKBARODA,True,False,True,False,False,False,False,False,False,True,True,False,4
BEL,False,False,False,False,False,False,False,False,False,False,False,False,0
BHARTIARTL,True,False,False,False,False,False,False,False,False,False,False,False,1
BHEL,False,False,False,False,False,False,False,False,False,True,True,True,3
BOSCHLTD,False,False,False,False,False,False,False,False,False,False,False,False,0
BPCL,False,False,False,False,False,False,False,False,False,False,False,False,0
BRITANNIA,False,False,False,False,False,False,False,False,False,False,False,False,0
CANBK,True,False,True,False,False,False,False,False,False,True,True,False,4
CHOLAFIN,True,True,True,False,False,False,False,False,False,False,True,False,4
CIPLA,False,False,False,False,False,False,False,False,False,False,False,False,0
COALINDIA,False,False,True,False,False,False,False,False,False,False,False,False,1
DABUR,False,False,False,False,False,False,False,True,False,False,False,False,1
DIVISLAB,False,False,False,False,False,False,False,False,False,False,False,False,0
DLF,False,False,False,False,False,False,False,False,False,True,False,True,2
DMART,False,False,False,False,False,False,False,False,False,False,False,False,0
DRREDDY,False,False,False,False,False,False,False,False,False,False,False,False,0
EICHERMOT,False,False,False,False,False,False,False,False,False,False,False,False,0
GAIL,False,False,False,False,False,False,False,False,False,False,False,False,0
GODREJCP,False,False,False,True,False,False,False,False,False,False,False,False,1
GRASIM,False,False,False,False,False,False,False,False,False,True,True,False,2
HAL,False,False,False,False,False,False,False,True,False,False,False,False,1
HAVELLS,False,False,False,False,False,False,False,False,False,False,False,False,0
HCLTECH,False,False,True,False,False,False,False,False,False,False,False,False,1
HDFCBANK,True,False,False,False,False,True,False,False,False,True,True,False,4
HDFCLIFE,False,False,False,False,False,False,False,False,False,True,False,False,1
HEROMOTOCO,False,False,False,False,False,False,False,False,False,False,False,True,1
HINDALCO,False,False,False,False,False,False,False,False,False,False,False,False,0
HINDUNILVR,False,False,False,False,False,False,False,True,False,False,False,False,1
ICICIBANK,True,False,True,False,False,True,False,False,False,True,True,False,5
ICICIGI,False,False,False,False,False,False,False,False,False,False,False,False,0
ICICIPRULI,False,False,False,False,False,False,False,False,False,True,False,False,1
INDIGO,False,False,True,False,False,False,False,False,False,False,False,False,1
INDUSINDBK,True,False,True,False,False,False,False,False,False,True,True,False,4
INFY,False,False,True,False,False,False,False,False,False,False,False,False,1
IOC,False,False,False,False,False,False,False,False,False,False,False,False,0
IRCTC,False,False,False,False,False,False,False,False,False,False,False,False,0
IRFC,True,False,False,False,False,True,False,False,False,True,True,False,4
ITC,False,False,False,False,False,False,False,False,False,False,False,False,0
JINDALSTEL,False,False,False,False,False,False,False,False,False,False,False,True,1
JIOFIN,False,False,False,False,False,False,False,False,False,True,False,False,1
JSWENERGY,False,False,False,False,False,False,False,False,False,True,True,True,3
JSWSTEEL,False,False,False,False,False,False,False,False,False,False,False,False,0
KOTAKBANK,True,False,False,False,False,True,False,False,False,True,True,False,4
LICI,False,False,False,False,False,False,False,False,False,False,False,False,0
LODHA,False,False,False,False,False,False,False,False,False,False,False,True,1
LT,False,False,True,False,False,False,False,False,False,False,False,False,1
LTIM,False,False,True,False,False,False,False,False,False,False,False,False,1
M&M,False,False,False,False,False,False,False,False,False,False,True,False,1
MARUTI,False,False,False,False,False,False,False,False,False,False,False,False,0
MOTHERSON,False,False,False,False,False,False,False,False,False,False,False,False,0
NAUKRI,False,False,False,False,False,False,False,False,False,True,False,False,1
NESTLEIND,False,False,False,False,False,False,False,False,False,False,False,False,0
NHPC,False,False,False,False,False,False,False,True,False,True,True,True,4
NTPC,False,False,False,False,False,False,False,False,False,False,True,False,1
ONGC,False,False,False,False,False,False,False,False,False,False,False,False,0
PFC,True,False,False,False,False,True,False,False,False,True,True,False,4
PIDILITIND,False,False,False,False,False,False,False,False,False,False,False,False,0
PNB,True,False,False,False,False,True,False,False,False,True,False,False,3
POWERGRID,False,False,False,False,False,False,False,False,False,False,False,False,0
RECLTD,True,True,False,False,False,False,False,False,False,False,True,False,3
RELIANCE,False,False,False,False,False,False,False,False,False,True,False,False,1
SBILIFE,False,False,False,False,False,False,False,False,False,False,False,False,0
SBIN,False,False,False,False,False,True,False,False,False,True,False,False,2
SHREECEM,False,False,False,False,False,False,False,False,False,False,False,False,0
SHRIRAMFIN,True,True,False,False,False,True,False,False,False,False,True,False,4
SIEMENS,False,False,False,False,False,False,False,False,False,False,False,False,0
SUNPHARMA,False,False,False,False,False,False,False,False,False,False,False,False,0
TATACONSUM,False,False,False,False,False,False,False,False,False,False,False,False,0
TATAMOTORS,False,False,False,False,False,False,False,False,False,False,False,False,0
TATAPOWER,False,False,False,False,False,False,False,False,False,False,True,False,1
TATASTEEL,False,False,False,True,True,False,False,False,False,True,True,False,4
