company_id,broad_sector,metric,value,z_score,outlier_flag
PNB,Financials,return_on_equity_pct,61.320565191187306,3.0016551151323183,True
JIOFIN,Financials,net_profit_margin_pct,86.52291105121293,3.6362082769548976,True
BAJFINANCE,Financials,interest_coverage,2689.1666666666665,4.178879156498652,True
PNB,Financials,asset_turnover,1.5070262950629396,3.92350186088964,True
BEL,Non-Financials,return_on_equity_pct,4744.047619047619,6.379118308943322,True
HAL,Non-Financials,return_on_equity_pct,3816.5829145728644,5.0903447259097545,True
ADANIGREEN,Non-Financials,debt_to_equity,6.595281675818589,3.7431908229299387,True
IRFC,Non-Financials,debt_to_equity,8.378352548852153,4.90558023146372,True
RECLTD,Non-Financials,debt_to_equity,6.4249170872386445,3.6321296215220378,True
ADANIGREEN,Non-Financials,revenue_cagr_5yr,34.9762,3.0240886371124716,True
TRENT,Non-Financials,revenue_cagr_5yr,36.3069,3.198139860806146,True
INDIGO,Non-Financials,pat_cagr_5yr,120.6925,5.631788896740068,True
TRENT,Non-Financials,pat_cagr_5yr,73.1137,3.0333114255018283,True
INDIGO,Non-Financials,eps_cagr_5yr,121.2357,5.5217795100624105,True
BAJAJHLDNG,Non-Financials,net_profit_margin_pct,432.7262044653349,8.150805897506507,True
BAJAJHLDNG,Non-Financials,interest_coverage,3764.5,8.074607120339046,True
BEL,Non-Financials,asset_turnover,125.88819875776397,6.800950405841928,True
HAL,Non-Financials,asset_turnover,67.51333333333334,3.5325632449867985,True
TATASTEEL,Non-Financials,dividend_payout_ratio_pct,-101.0,-4.191324980730482,True
TECHM,Non-Financials,dividend_payout_ratio_pct,150.0,3.5684683559771737,True
